postcode,northing,easting
E2 9LS,183175,534907
E20 1AS,185134,538387
E3 2AT,182836,536903
E3 2LR,183773,536916
E3 3BT,182706,537975
E3 3EW,182785,537621
E3 3FF,182428,537855
E3 4LJ,182648,536940
E3 5ED,183342,536658
E3 5JD,183214,536617
E3 5TW,183031,536133
E4 6UN,193144,538482
E4 7HS,193914,538739
E4 7JX,194083,537765
E4 7NX,194859,537715
E4 8DA,192993,537306
E4 8DG,192904,537282
E4 8HH,192742,537253
E4 8LF,192658,537006
E4 8LT,192274,537306
E4 8YD,191738,536858
E4 9HH,191953,538493
E4 9PD,191813,538662
E5 0DH,185935,536056
E5 0PL,185471,535294
E5 0PQ,185359,535230
E5 0QP,185802,535061
E5 8BY,186154,534415
E5 9BQ,186953,535164
E5 9DH,187132,534554
E6 2DU,184126,542457
E6 2RA,183349,542813
E6 3BA,183495,542409
E6 3BD,183350,541930
E6 5JS,181632,542783
E6 5NA,180965,543258
E7 0EP,185461,540490
E7 0QH,185244,540523
E7 8AB,185138,541099
E7 8AR,185065,541442
E7 8BU,184941,540874
E7 8LZ,184415,541249
E7 8QP,184426,541797
E7 8QR,184281,541945
E7 9PB,184635,540619
E7 9QJ,184175,540960
E8 1HP,185171,534971
E8 1PG,184979,534115
E8 3AH,184778,533915
E8 3HN,184457,534245
E8 3XP,184270,533837
E8 4QJ,183745,534536
E9 5AN,184711,536085
E9 5NE,184768,536730
E9 5QG,185487,536351
E9 6AG,185079,535784
E9 6QY,184485,535383
E9 6RT,184880,535346
E9 6SR,185336,535570
E9 7SN,184006,534964
E9 7TA,184070,535134
EC1A 7HF,181721,532048
EC1A 7HZ,181757,532019
EC1A 9PH,181578,531785
EC1N 2SW,181618,531210
EC1R 0LP,182356,531294
EC1V 2QH,182725,532515
EC1Y 2AA,182086,532786
EC1Y 2AL,182352,532746
EC2A 1AS,182034,532785
EC2M 1JD,181547,533008
EC2M 1JJ,181505,533030
EC2M 5TE,181523,532761
EC2M 5TU,181502,532871
EC2N 2DL,181438,532866
EC2N 2HD,181318,532935
EC2R 8AR,181236,532991
EC2V 5BQ,181356,532562
EC2V 6EE,181138,532512
EC2Y 9AA,181601,532692
EC2Y 9AW,181777,532641
EC3A 5AR,181207,533373
EC3M 1AE,180813,532972
EC3M 1EB,180805,533077
EC3N 2JY,180958,533608
EC3N 3AJ,180946,533495
EC3N 4AB,180570,533602
EC3R 8HN,180704,533194
EC3V 1LR,181049,533092
EC3V 3ND,181101,532832
EC4A 1DT,181381,531149
EC4A 2AB,181190,531594
EC4M 7AS,181105,531824
EC4M 9AF,181118,532206
EC4N 5AX,180897,532733
EC4N 7BE,180921,532834
EC4N 7HR,180882,532855
EC4R 2SU,180842,532558
EC4R 3XJ,180729,532548
EC4V 2AU,180907,532381
EC4Y 1AA,181123,531213
EC4Y 8AA,181127,531501
EN1 1HS,195279,533956
EN1 1LJ,195895,534196
EN1 1PJ,196559,533320
EN1 1XG,195184,533891
EN1 3AZ,196798,533153
EN1 3EB,196810,532834
EN1 3EW,196787,532850
EN1 3LL,197723,533116
EN2 6HB,195903,532650
EN2 6TJ,196418,532555
EN2 7PR,197311,531425
EN2 7RD,196610,530898
EN3 4DE,196281,535243
EN3 4DN,196152,535275
EN3 4DZ,195887,535276
EN3 4UE,195896,535951
EN3 5BA,197196,535079
EN3 5PR,197993,535378
EN3 5TU,197529,535176
EN3 6GS,198507,537232
EN3 6ND,198918,535693
EN3 6PN,199128,535616
EN3 7HW,197175,535364
EN4 0DR,196290,528206
EN4 8QZ,195763,526961
EN4 8RF,195949,526839
EN4 9NB,196028,528176
EN5 1QH,196114,526231
EN5 1RS,195838,525808
EN5 2ED,195991,524996
EN5 4BB,196432,524510
EN5 4HT,196576,524292
HA0 1EU,183356,518147
HA0 2AL,185150,517996
HA0 3HG,185713,516810
HA0 4JB,184043,518388
HA0 4JF,184192,518218
HA0 4SH,184348,518036
HA0 4UZ,184783,517499
HA1 1PG,188516,515047
HA1 1PQ,188368,515067
HA1 1RQ,188825,514904
HA1 1SE,188898,515275
HA1 2NU,188316,515976
HA1 2UD,189190,515615
HA1 3GW,186293,515663
HA1 3QE,186062,515669
HA1 3RX,186438,515663
HA1 3UJ,187616,516376
HA1 4BS,187692,514387
HA1 4JS,188389,514222
HA1 4QG,188735,514395
HA2 0AH,187154,514170
HA2 0JF,187060,515106
HA2 0RQ,187543,513830
HA2 0UE,186658,513548
HA2 6LY,190187,513910
HA2 7DU,188171,513378
HA2 8RS,186008,512918
HA2 9JJ,186815,512556
HA2 9LG,187069,512666
HA3 0UQ,188838,518401
HA3 0YX,188373,516742
HA3 5HF,190530,515032
HA3 5LE,190815,514850
HA3 7LT,190477,516409
HA3 9BL,189867,517794
HA3 9BP,189685,517293
HA3 9SN,188191,518655
HA4 0NT,186094,511479
HA4 0QR,186056,512232
HA4 6ER,186991,509240
HA4 6TA,184894,511071
HA4 7AE,187364,509031
HA4 7LJ,187559,508579
HA4 7QU,188008,508435
HA4 8BE,187707,509266
HA4 9EY,186653,511477
HA4 9LZ,186950,510637
HA5 1TG,187928,511144
HA5 3EE,189709,512155
HA5 4EA,191230,513488
HA5 4RD,190959,512486
HA6 1NW,190146,510204
HA6 1TQ,190709,510103
HA6 2AD,191598,509071
HA6 2RG,191965,507828
HA6 3BG,191531,509231
HA7 1HS,190551,517557
HA7 1JP,190060,518225
HA7 4AU,192065,517035
HA7 4QT,192515,518313
HA8 0AD,191155,519814
HA8 0AP,190843,519859
HA8 0NR,190814,520461
HA8 0RW,191231,520766
HA8 5AT,190990,519495
HA8 5LP,190230,519872
HA8 5NE,189884,519442
HA8 5QL,190158,519325
HA8 6BH,190163,518524
HA8 7HF,191706,519191
HA8 8NB,192874,519337
HA8 9GJ,192127,519540
HA8 9NT,192243,520546
HA8 9TN,192224,519680
